friday,monday,fri_close,mon_open,gap,gap_pct,gap_direction,fills_in_4h,fills_in_24h,never_fills,mon_persistence_pct,continued,h1_mom_4bar_pct,h1_mom_sign,gap_sign
2023-03-24,2023-03-27,1978.76,1976.73,-2.0299999999999727,-0.10258950049525828,down,True,True,False,-1.033019178137635,True,-0.11736554815275912,-1.0,-1.0
2023-03-31,2023-04-03,1969.36,1970.22,0.8600000000001273,0.043669009221276325,up,True,True,False,0.7110881018363426,True,-0.5090802042411524,-1.0,1.0
2023-04-14,2023-04-17,2004.26,1999.11,-5.150000000000091,-0.2569526907686673,down,True,True,False,-0.20609171081130562,True,0.20208993001886721,1.0,-1.0
2023-04-21,2023-04-24,1982.79,1981.45,-1.3399999999999181,-0.06758153914433289,down,True,True,False,0.38456685760427417,False,-0.09841277852078445,-1.0,-1.0
2023-04-28,2023-05-01,1989.38,1991.51,2.1299999999998818,0.10706853391508318,up,True,True,False,-0.4639695507429041,False,-0.48003776029243994,-1.0,1.0
2023-05-05,2023-05-08,2016.61,2015.91,-0.6999999999998181,-0.034711719172265246,down,True,True,False,0.26588488573398117,False,0.05059749691205262,1.0,-1.0
2023-05-12,2023-05-15,2010.88,2007.63,-3.25,-0.16162078294080204,down,True,True,False,0.4308562832792827,False,0.491624452712891,1.0,-1.0
2023-05-19,2023-05-22,1977.68,1977.61,-0.07000000000016371,-0.003539500829262758,down,True,True,False,-0.3074418110749808,True,0.13248314885139223,1.0,-1.0
2023-05-26,2023-05-29,1946.81,1942.18,-4.629999999999882,-0.23782495466942752,down,False,True,False,0.07723280025538312,False,0.05148853350358529,1.0,-1.0
2023-06-02,2023-06-05,1947.9,1946.99,-0.9100000000000819,-0.04671697725756362,down,True,True,False,0.7534707420171687,False,0.02568066605375119,1.0,-1.0
2023-06-09,2023-06-12,1960.61,1960.12,-0.4900000000000091,-0.02499222180851924,down,False,True,False,-0.1387670142644226,True,-0.21223190416912452,-1.0,-1.0
2023-06-16,2023-06-19,1957.41,1957.9,0.4900000000000091,0.02503307942638533,up,True,True,False,-0.4157515705602993,False,-0.09551049593953254,-1.0,1.0
2023-06-23,2023-06-26,1921.09,1925.18,4.0900000000001455,0.2128999682472006,up,False,False,True,-0.1070029815393975,False,0.008830343136745356,1.0,1.0
2023-06-30,2023-07-03,1919.3,1919.23,-0.06999999999993634,-0.003647163028184043,down,True,True,False,0.11202409299563319,False,-0.10264533172157364,-1.0,-1.0
2023-07-07,2023-07-10,1925.34,1924.5,-0.8399999999999181,-0.043628657795502,down,True,True,False,0.037931930371526014,False,0.01922577292803318,1.0,-1.0
2023-07-14,2023-07-17,1955.31,1954.92,-0.38999999999987267,-0.019945686361746866,down,True,True,False,0.0,False,-0.11918646287316648,-1.0,-1.0
2023-07-21,2023-07-24,1961.77,1961.82,0.049999999999954525,0.002548718759077493,up,True,True,False,-0.3675158781131825,False,-0.01936976888806674,-1.0,1.0
2023-07-28,2023-07-31,1959.17,1959.02,-0.15000000000009095,-0.007656303434622362,down,True,True,False,0.3246521219793635,False,-0.11587426366244102,-1.0,-1.0
2023-08-04,2023-08-07,1942.4,1942.41,0.009999999999990905,0.0005148270181214428,up,True,True,False,-0.31146874243852646,False,-0.004633419309008069,-1.0,1.0
2023-08-11,2023-08-14,1913.73,1913.02,-0.7100000000000364,-0.03710032240702902,down,True,True,False,-0.2906399305809634,True,-0.0805009879666696,-1.0,-1.0
2023-08-18,2023-08-21,1889.41,1889.58,0.16999999999984539,0.008997517743626074,up,True,True,False,0.2767810836270504,True,-0.21962552524898982,-1.0,1.0
2023-08-25,2023-08-28,1914.29,1915.11,0.8199999999999363,0.04283572499464221,up,True,True,False,0.26003728245375035,True,0.018797875840026457,1.0,1.0
2023-09-01,2023-09-04,1939.7,1940.33,0.6299999999998818,0.03247924936845294,up,True,True,False,-0.11492890384625389,False,0.13657470636438962,1.0,1.0
2023-09-08,2023-09-11,1918.99,1919.72,0.7300000000000182,0.0380408444025252,up,True,True,False,0.13283187131456434,True,0.13908278290584164,1.0,1.0
2023-09-15,2023-09-18,1923.67,1923.94,0.2699999999999818,0.01403567139893962,up,True,True,False,0.496896992629705,True,0.06237200744305671,1.0,1.0
2023-09-22,2023-09-25,1925.33,1924.99,-0.33999999999991815,-0.017659310351987357,down,True,True,False,-0.4742881781204115,True,-0.0690912680065825,-1.0,-1.0
2023-09-29,2023-10-02,1848.72,1846.43,-2.2899999999999636,-0.12386948807823595,down,True,True,False,-1.0143899308395128,True,-0.13647958492875034,-1.0,-1.0
2023-10-06,2023-10-09,1831.91,1848.26,16.34999999999991,0.8925110949773684,up,False,False,True,0.7022821464512579,True,0.034086113425613185,1.0,1.0
2023-10-13,2023-10-16,1932.22,1928.44,-3.7799999999999727,-0.19562989721667165,down,False,False,True,-0.43558523988301895,True,-0.4153616394598769,-1.0,-1.0
2023-10-20,2023-10-23,1980.77,1962.66,-18.1099999999999,-0.9142909070714874,down,False,True,False,0.5125696758480809,False,0.20125747709740516,1.0,-1.0
2023-10-27,2023-10-30,2006.11,2004.42,-1.6899999999998272,-0.0842426387386448,down,True,True,False,-0.4150826673052635,True,0.012971333353295478,1.0,-1.0
2023-11-03,2023-11-06,1992.5,1991.69,-0.8099999999999454,-0.040652446675028625,down,True,True,False,-0.6999081182312535,True,-0.2354784128052123,-1.0,-1.0
2023-11-10,2023-11-13,1938.26,1938.65,0.39000000000010004,0.02012113957880264,up,True,True,False,0.37964562969075905,True,-0.059835452505618836,-1.0,1.0
2023-11-17,2023-11-20,1980.59,1978.69,-1.8999999999998636,-0.09593101045647326,down,True,True,False,-0.04902233295766529,True,0.20872395372695252,1.0,-1.0
2023-11-24,2023-11-27,2002.25,2012.66,10.410000000000082,0.5199150955175469,up,True,True,False,0.06955968718014287,True,-0.06906283227172683,-1.0,1.0
2023-12-01,2023-12-04,2071.64,2072.35,0.7100000000000364,0.034272363924235695,up,True,True,False,-2.0913455738654148,False,0.7619369315028823,1.0,1.0
2023-12-08,2023-12-11,2004.27,2003.55,-0.7200000000000273,-0.03592330374650258,down,True,True,False,-1.0915624766040224,True,-0.2715180554515806,-1.0,-1.0
2023-12-15,2023-12-18,2019.42,2019.64,0.22000000000002728,0.010894217151460682,up,True,True,False,0.37184844823829943,True,0.10992057990530935,1.0,1.0
2024-01-05,2024-01-08,2045.35,2044.81,-0.5399999999999636,-0.026401349402301006,down,True,True,False,-0.8211031831808318,True,-0.17312121908636957,-1.0,-1.0
2024-01-12,2024-01-15,2048.94,2048.07,-0.8699999999998909,-0.042460979823708396,down,True,True,False,0.2739164188723858,False,0.40379479217018677,1.0,-1.0
